NationalLeagueHomeTeam NationalLeagueAwayTeam SwissLeagueHomeTeam SwissLeagueAwayTeam
Bern 4 Zurich 1
Davos 1 EHCKloten 4
Fribourg 6 LangnauTigers 0
Lausanne 0 Zug 5
Lugano 5 Biel 6
Rapperswil-Jona 7 Ambri-Piotta 4
Servette 3 Ajoie 2
Ajoie 0 Fribourg 4
Ambri-Piotta 2 Lugano 4
Biel 8 Lausanne 1
EHCKloten 3 Rapperswil-Jona 2
LangnauTigers 1 Bern 3
Zug 6 Servette 1
Zurich 4 Davos 1
Davos 2 Ambri-Piotta 3
Lausanne 3 Rapperswil-Jona 2
Zug 4 Fribourg 2
Zurich 3 Zug 2
Lausanne 3 Ambri-Piotta 2
Bern 2 Ajoie 3
LaChaux-de-Fonds 5 Sierre 2
